tweet_id,favorites,retweets
830173239259324417,0,5557
830097400375152640,9635,2868
829878982036299777,0,4899
829861396166877184,12069,1895
829501995190984704,31259,10374
829449946868879360,10317,1963
829141528400556032,24043,7172
829011960981237760,52498,15991
828801551087042563,0,3354
828770345708580865,25234,5729
828708714936930305,35971,10949
828650029636317184,9374,1308
828409743546925057,6263,1141
828408677031882754,7580,1259
828381636999917570,12421,2176
828376505180889089,7282,1046
828372645993398273,12414,2874
828361771580813312,2153,171
828046555563323392,11593,2813
828011680017821696,10227,2112
827933404142436356,19819,5136
827653905312006145,15296,2964
827600520311402496,7372,923
827324948884643840,15621,2977
827199976799354881,10446,2184
826958653328592898,21292,4899
826848821049180160,35815,9957
826615380357632002,0,3912
826598799820865537,5066,245
826598365270007810,9901,2303
826476773533745153,18167,4109
826240494070030336,13117,2564
826204788643753985,4815,906
826115272272650244,15442,3042
825876512159186944,10354,1831
825829644528148480,12590,2445
825535076884762624,56225,17276
825147591692263424,18075,4459
825120256414846976,0,1228
825026590719483904,6209,1228
824796380199809024,0,5412
824775126675836928,14737,3447
824663926340194305,10410,1742
824325613288833024,11687,10387
824297048279236611,14890,3793
824025158776213504,4766,589
823939628516474880,10506,2659
823719002937630720,0,10990
823699002998870016,13822,2477
823581115634085888,12884,2587
823333489516937216,693,22
823322678127919110,15559,3952
823269594223824897,0,9724
822975315408461824,17150,3388
822872901745569793,130090,42490
822859134160621569,13118,2234
822647212903690241,0,6312
822610361945911296,14657,2908
822489057087389700,17943,6312
822462944365645825,27655,14028
822244816520155136,34600,9724
822163064745328640,0,4682
821886076407029760,11204,2269
821813639212650496,0,3330
821765923262631936,8325,1631
821522889702862852,7964,1727
821421320206483457,0,5490
821407182352777218,11632,4271
821153421864615936,254,10
821149554670182400,8547,1939
821107785811234820,9510,2104
821044531881721856,12555,2239
820837357901512704,0,6633
820749716845686786,31267,9738
820690176645140481,12111,3186
